_id,id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,backstop,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
43,243320968,Heth's Field 2,False,Heth's Park,Diamond and Rectangular,0,Skinned,362,270,182,NA,Highland Park,7,11,42003110200,2,11,5,3-9,40.47771852,-79.92746804
26,1230751611,Dunbar Field 2,True,Dunbar Park,Diamond Only,0,Skinned,275,372,235,NA,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.4385953,-80.05252163
38,1132072066,Garvin,False,Garvin Park,Diamond Only,0,Skinned,170,175,188,NA,Perry North,1,26,42003260200,1,26,1,1-15,40.49260073,-80.01830274
40,1961833311,Herschel Field 1 Lower,True,Herschel Park,Diamond and Rectangular,0,Skinned,311,368,350,NA,Elliott,2,20,42003562600,5,20,6,1-17,40.43940126,-80.04318168
27,1718657420,East Hills,False,East Hills Park,Diamond Only,0,Skinned,255,270,255,NA,East Hills,9,13,42003130600,2,13,5,3-19,40.4531361,-79.8695421
34,195772748,Forbes and Braddock Field 1,False,Frick Park,Diamond Only,0,Skinned,370,386,260,NA,Regent Square,5,14,42003141000,3,14,4,2-16,40.43846416,-79.89768422
35,1621765423,Fort Pitt,True,Fort Pitt Park,Rectangular Only,2,N/A,N/A,N/A,N/A,NA,Garfield,9,10,42003101700,2,10,5,3-4,40.46943416,-79.9429147
36,515590406,Fowler,True,Fowler Park,Rectangular Only,2,N/A,N/A,N/A,N/A,NA,Perry South,6,26,42003261400,1,26,1,1-23,40.47009849,-80.01017611
37,1799004578,Gardner,True,Gardner Park,Diamond Only,0,Skinned,264,257,273,NA,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46161728,-79.98603738
39,1249582327,Gladstone,False,Gladstone Park,Diamond Only,0,Skinned,250,290,167,NA,Hazelwood,5,15,42003562300,3,15,4,2-12,40.4151142,-79.93869253
41,572722029,Herschel Field 2 Upper,True,Herschel Park,Diamond Only,0,Skinned,180,180,180,NA,Elliott,2,20,42003562600,5,20,6,1-17,40.44006787,-80.04430153
42,912391510,Heth's Field 1,False,Heth's Park,Diamond and Rectangular,0,Skinned,376,315,195,NA,Highland Park,7,11,42003110200,2,11,5,3-9,40.47720822,-79.92774525
44,976104904,Heth's Field 3,False,Heth's Park,Diamond Only,0,Skinned,105,105,105,NA,Highland Park,7,11,42003110200,2,11,5,3-9,40.47819748,-79.92739061
12,2054874405,Brighton Heights Field 5,False,Brighton Heights Park,Diamond Only,0,Skinned,198,198,196,NA,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48603337,-80.03063053
24,1963449609,Dilworth Field 2 Upper,True,Emerald View Park - Mt. Washington Park,Diamond Only,0,Skinned,165,175,200,NA,Mount Washington,2,19,42003191400,5,19,3,4-27,40.4245104,-80.01418879
25,1469969693,Dunbar Field 1,True,Dunbar Park,Diamond Only,0,Skinned,300,400,275,NA,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43891028,-80.05213701
28,195606578,East Liberty Park OMEGA,False,East Liberty Park,Diamond Only,0,Skinned,185,240,200,NA,East Liberty,9,11,42003111500,2,11,5,3-10,40.46211314,-79.91874201
30,361762833,Fern Hollow,False,Frick Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Squirrel Hill South,5,14,42003980300,3,14,4,2-16,40.42899697,-79.90121258
31,322672382,Fifty-Seventh St ARCO,False,Fifty-Seventh Street Park,Diamond Only,0,Skinned,183,180,180,NA,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48607414,-79.9463051
32,1426269763,Fineview,True,Fineview Field,Diamond Only,0,Skinned,274,280,234,NA,Fineview,6,25,42003250900,1,25,1,1-10,40.45993808,-80.00425255
33,961495598,Forbes & Braddock Field 2,False,Frick Park,Diamond Only,0,Skinned,408,362,267,NA,Regent Square,5,14,42003141000,3,14,4,2-16,40.43796375,-79.89773276
45,1894204804,Jim Rawe,False,Alton Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Beechview,4,19,42003191600,5,19,6,4-28,40.41472769,-80.02178985
14,1281324044,Bud Hammer,False,Bud Hammer Park,Diamond Only,0,Skinned,182,193,182,NA,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42048831,-79.94654735
15,456911521,Burgwin,True,Burgwin Park,Rectangular Only,1,N/A,N/A,N/A,N/A,NA,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40444837,-79.93733431
